EmployeeID,Age,Department,MonthlySales,PerformanceScore
1,28,Sales,12129.736044195803,4.267740667587716
2,25,Sales,18864.374587074195,6.8132551719844106
3,26,IT,11934.0093796417,6.137004742020207
4,28,Production,8375.228597923917,4.204870533080616
5,24,Marketing,13222.476150404711,9.878637239136816
6,29,Finance,9706.804919338816,6.451973374211985
7,26,HR,11366.718997002763,3.1350411256239505
8,26,Marketing,18887.831366753977,1.9160422535836337
9,28,Production,8335.95011821471,2.375732252658988
10,23,HR,19262.62071265437,3.213619555460573
11,24,IT,18201.66219716521,2.446132359336001
12,28,IT,4720.031560996633,2.679103216461752
13,24,Sales,2317.8647166281435,3.565856518244624
14,24,Production,2914.7820261711063,2.560362357652793
15,29,Finance,1346.214687379445,9.070888821637826
16,26,HR,2794.41625436264,1.7221037109547799
17,25,Marketing,13977.12869491078,5.720602506132292
18,29,Production,2352.584320744351,4.693571442906954
19,29,Production,7060.5369755814645,9.841407552177458
20,24,IT,17052.630908419636,2.008350119512471
21,27,Sales,1442.1667789806916,4.580700391411675
22,26,Sales,16474.90116918978,9.72523389947832
23,23,HR,6355.240720694599,8.789564133045822
24,29,IT,3245.1317248114688,8.353648638543518
25,25,Production,14238.006141918862,3.3211254434044584
26,27,Finance,12949.914088817795,2.5379882865105925
27,27,IT,17671.968257014007,7.017788979319879
28,23,HR,14966.34983227383,9.364383902148273
29,29,HR,16266.137677312123,6.010866037125368
30,25,IT,6358.656878854823,6.144514205229099
31,26,HR,4371.351331814733,3.5198118429425573
32,22,IT,15261.680281176308,7.925436398727432
33,25,Marketing,16329.860046078016,2.6833937370177106
34,23,IT,19819.597698012793,3.913113127638193
35,27,IT,8839.735861317102,4.828927947547751
36,26,HR,8068.34363006288,5.568493408160095
37,25,HR,15751.84625409794,3.181687591735722
38,22,Sales,7475.267264807339,2.033531422652832
39,22,Sales,18684.389186467728,6.495580381974693
40,24,Marketing,17309.842285017225,3.597674979162302
41,24,Sales,9150.886520125348,6.231143992803511
42,28,IT,15266.55028803845,2.389264437467821
43,23,HR,15336.314607608965,5.330260916693358
44,29,Sales,2959.35350788272,5.793304892964272
45,25,Sales,18148.505226911766,1.4664118314018422
46,25,Marketing,10599.795076509286,4.029438503745285
47,29,Production,16702.69185604709,2.209732092450768
48,28,Marketing,7080.942419581624,1.5703747342549097
49,27,IT,18014.94134142781,9.909642091509507
50,27,HR,8394.831895949099,3.9011846047725065
51,28,Marketing,1205.915378125669,8.288870012691714
52,27,Sales,18202.25755196601,3.2917658928738747
53,24,HR,2734.446858936538,7.133524500015364
54,25,HR,7066.959114217882,7.842050739007179
55,28,Sales,19051.177373965293,6.360748665470599
56,25,Marketing,19061.535791813567,5.244185696951425
57,29,Sales,11895.319874342436,4.706568227325417
58,22,Production,13004.907031226187,4.139814398886958
59,24,HR,9520.464917588075,9.365762298230432
60,26,Finance,6571.004662263226,8.475574670089562
61,24,Finance,7244.6263620284035,9.685242195998613
62,28,IT,13777.85066546373,2.1186750113699024
63,26,Sales,15295.11605931592,7.577807276832798
64,22,Sales,16040.001830791121,9.44506411138934
65,28,IT,16002.744713096525,2.6310975954909415
66,23,IT,2732.9159579251173,1.5984664063009975
67,25,IT,10393.985789349048,7.670085843610531
68,22,HR,2093.616440316241,6.170258018619207
69,25,Production,11441.048764150975,8.576458990824449
70,27,Sales,9389.079526094163,2.2579513896366055
71,23,HR,17866.379472407694,8.15740580673901
72,23,IT,7667.385238489495,2.8146458804297008
73,22,Sales,3224.2733121245114,2.4729034857913406
74,23,HR,3716.841959003881,2.4783921813789362
75,26,Production,15468.702002631973,8.33117248208244
76,23,HR,12746.14320300896,6.986774986265801
77,25,Production,2921.330846333015,5.707588822922074
78,25,IT,2598.0293161849513,4.229474357111522
79,28,Production,14318.413497723279,8.894804867317974
80,25,Sales,2382.497120919677,4.532005966803719
81,28,IT,16615.341126516767,8.349394955244193
82,25,Sales,14418.602315973429,4.952214177131966
83,26,Finance,2545.6268321960956,4.392499864824169
84,29,Marketing,2611.9165676186467,5.164118071026458
85,28,Production,19746.151991522333,3.7124008674772786
86,24,Marketing,8111.145119366286,7.72848442158626
87,27,Marketing,8042.200794270927,5.5244835108323125
88,22,Production,16443.19177789255,3.0899142563213555
89,25,IT,18997.722970293315,9.096171159471115
90,23,Finance,19734.020212634547,4.455020992358903
91,29,Sales,15314.18551991989,5.891975750025898
92,25,HR,8148.932125087399,9.158248998680923
93,23,Sales,2586.5136172747066,6.618141963225929
94,27,HR,15765.791402621298,2.0520823663752767
95,27,Sales,11609.680744980296,9.458489112521276
96,27,Production,9060.21817569255,6.6493724776427605
97,23,Finance,18220.733316799982,4.014150531913775
